"Item #","Item Description",MSP,"Retail Price","Dealer Price","Sale Price","Sale Ends",Quantity,"UPC Code",Manufacturer,"Gun Type","Model Series",Caliber,Action,Capacity,Finish,Stock,Sights,"Barrel Length","Overall Length",Features
HG4873B-N,"CAN TP9DA 9MM PST 18RD BRZ",$319.99,$404.99,$319.99,,,0,#787450525092#,Canik,"Pistol: Semi-Auto",TP9,"9MM LUGER",DA/SA,18+1,"Burnt Bronze",,"FT: Dot RR: U Notch",4.07,7.16,"Slide Mounted Disassembly Button/ Poly Holster"
HG5636WGN-N,"CAN METE SFT 9MM 20 WTP GRN DE",$474.99,$589.99,$474.99,,,0,#787450839069#,Canik,"Pistol: Semi-Auto",Mete,"9MM LUGER","Single Action","18+1 & 20+1","We the People Green",,"FT: Dot RR: U Notch",4.46,7.5,"We the People Cerakote/ Optics Ready/ Poly Holster"
HG5636LGB-N,"CAN METE SFT 9MM CRTNS GRY BMB",$474.99,$589.99,$474.99,,,41,##,Canik,"Pistol: Semi-Auto",Mete,"9MM LUGER","Single Action","18+1 & 20+1","Light Grey Bomber",,"FT: Dot RR: U Notch",4.46,7.5,"Light Grey Bomber Cerakote/ Optics Ready"
00004,"CAE EXECUTIVE LOCKBACK",$24.59,$43.99,$24.59,,,3,##,CASE,,,,,,,,,,,
00013,"CAE MINI TRAPPER AMBER BONE",$41.69,$73.99,$41.69,,,0,##,CASE,,,,,,,,,,,
00029,"CAE MINI TRAPPER YELLOW SYNTH",$34.89,$61.99,$34.89,,,0,##,CASE,,,,,,,,,,,
00031,"CAE SLIMLINE TRAPPER YELLOW",$33.19,$58.99,$33.19,,,3,##,CASE,,,,,,,,,,,
00032,"CAE SOD BUSTER JR YELLOW SYNTH",$23.69,$41.99,$23.69,,,3,##,CASE,,,,,,,,,,,
00035,"CAE MEDIUM STOCKMAN YELLOW SYN",$42.19,$74.99,$42.19,,,1,##,CASE,,,,,,,,,,,
00042,"CAE MEDIUM STOCKMAN AMBER BONE",$50.79,$89.99,$50.79,,,2,##,CASE,,,,,,,,,,,
00046,"CAE PEANUT JIGGED BROWN SYNTH",$33.19,$58.99,$33.19,,,4,##,CASE,,,,,,,,,,,
00048,"CAE PEANUT GENUINE STAG",$63.79,$112.99,$63.79,$51.79,11/30/2024,22,##,CASE,,,,,,,,,,,
00079,"CAE MEDIUM STOCKMAN AMBER BONE",$49.49,$87.99,$49.49,,,6,##,CASE,,,,,,,,,,,
00081,"CAE SMALL STOCKMAN BROWN SYNTH",$38.59,$68.99,$38.59,,,4,##,CASE,,,,,,,,,,,
00083,"CAE SMALL PEN BROWN SYNTHETIC",$35.69,$63.99,$35.69,,,3,##,CASE,,,,,,,,,,,
00092,"CAE SOD BUSTER BLACK SYNTHETIC",$27.09,$47.99,$27.09,,,5,##,CASE,,,,,,,,,,,
00095,"CAE SOD BUSTER BLACK SYN. JR",$23.39,$40.99,$23.39,,,0,##,CASE,,,,,,,,,,,
00106,"CAE MEDIUM STOCKMAN BROWN SYN",$44.59,$78.99,$44.59,$36.59,11/30/2024,35,##,CASE,,,,,,,,,,,
00120,"CAE FISHING YELLOW SYNTHETIC",$50.79,$89.99,$50.79,,,8,##,CASE,,,,,,,,,,,
00128,"CAE STOCKMAN AMBER BONE",$49.69,$88.99,$49.69,,,0,##,CASE,,,,,,,,,,,
00133,"CAE MINI COPPERLOCK AMBER BONE",$50.69,$89.99,$50.69,,,5,##,CASE,,,,,,,,,,,
00135,"CAE SLIMLINE TRAPPER BRN SYN",$33.49,$58.99,$33.49,,,3,##,CASE,,,,,,,,,,,
00161,"CAE TRAPPER YELLOW SYNTHETIC",$37.19,$65.99,$37.19,,,0,##,CASE,,,,,,,,,,,
00164,"CAE TRAPPER AMBER BONE",$44.89,$79.99,$44.89,,,7,##,CASE,,,,,,,,,,,
00178,"CAE SMALL STOCKMAN STAG",$66.79,$118.99,$66.79,$54.99,11/30/2024,13,##,CASE,,,,,,,,,,,
00189,"CAE ROSEWOOD FOLDING HUNTER",$71.09,$126.99,$71.09,,,1,##,CASE,,,,,,,,,,,
00204,"CAE LARGE STOCKMAN AMBER BONE",$56.99,$100.99,$56.99,,,3,##,CASE,,,,,,,,,,,
00253,"CAE MINI BLACKHORN",$12.69,$21.99,$12.69,,,3,##,CASE,,,,,,,,,,,
00260,"CAE RUSSLOCK AMBER BONE",$56.19,$99.99,$56.19,,,3,##,CASE,,,,,,,,,,,
00263,"CAE CANOE AMBER BONE",$53.49,$94.99,$53.49,,,0,##,CASE,,,,,,,,,,,
25589-CAE,"CAE RUSSLOCK BLUE BONE SAWCUT",$56.19,$99.99,$56.19,,,5,##,CASE,,,,,,,,,,,
00334,"CAE HUNTER USMC GROOVED LEATHR",$71.29,$126.99,$71.29,,,1,##,CASE,,,,,,,,,,,
00362,"CAE RIDGEBACK HUNTER",$38.59,$68.99,$38.59,,,3,##,CASE,,,,,,,,,,,
00379,"CAE LEATHER MINI FINN HUNTER",$46.69,$82.99,$46.69,,,0,##,CASE,,,,,,,,,,,
00381,"CAE UTILITY HUNTER",$64.29,$113.99,$64.29,,,4,##,CASE,,,,,,,,,,,
00781,"CAE PEANUT OLD RED BONE",$42.89,$75.99,$42.89,,,6,##,CASE,,,,,,,,,,,
00783,"CAE TRAPPER OLD RED BONE",$47.29,$83.99,$47.29,,,0,##,CASE,,,,,,,,,,,
00786,"CAE MED STOCKMAN OLD RED BONE",$53.39,$94.99,$53.39,,,7,##,CASE,,,,,,,,,,,
00792,"CAE SMALL TEXAS TOOTHPICK",$40.59,$71.99,$40.59,$33.59,11/30/2024,0,##,CASE,,,,,,,,,,,
02800,"CAE TRAPPER BLUE BONE CORN COB",$44.89,$79.99,$44.89,,,2,##,CASE,,,,,,,,,,,
02806,"CAE MEDIUM STOCKMAN BLUE BONE",$49.49,$87.99,$49.49,$40.49,11/30/2024,26,##,CASE,,,,,,,,,,,
03578,"CAE MEDIUM STOCKMAN BONE STAG",$57.29,$101.99,$57.29,$47.19,11/30/2024,39,##,CASE,,,,,,,,,,,
25596,"CAE PEANUT BLUE BONE SAWCUT",$42.49,$75.99,$42.49,,,5,##,CASE,,,,,,,,,,,
58182,"CAE TRAPPER ANTIQUE BONE",$51.89,$91.99,$51.89,,,0,##,CASE,,,,,,,,,,,
58185,"CAE MED STOCKMAN ANTIQUE BONE",$54.79,$97.99,$54.79,$44.79,11/30/2024,33,##,CASE,,,,,,,,,,,
58413,"CAE MED STOCKMAN GRAY BONE",$53.49,$94.99,$53.49,$43.49,11/30/2024,38,##,CASE,,,,,,,,,,,
58414-CAE,"CAE MINI TRAPPER GRAY BONE",$45.59,$80.99,$45.59,,,0,##,CASE,,,,,,,,,,,
60180,"CAE SM TEXAS TOOTHPICK WHITE",$31.89,$56.99,$31.89,,,2,##,CASE,,,,,,,,,,,
60184,"CAE MED STOCKMAN WHITE SPARXX",$42.79,$75.99,$42.79,,,1,##,CASE,,,,,,,,,,,
60185,"CAE MINI COPPERLOCK WHITE SYN",$44.89,$79.99,$44.89,,,4,##,CASE,,,,,,,,,,,
65305,"CAE MINI TRAPPER 6.5 BONESTAG",$48.99,$86.99,$48.99,$40.99,11/30/2024,4,##,CASE,,,,,,,,,,,
65310,"CAE SOD BUSTER JR BONESTAG",$48.99,$86.99,$48.99,,,0,##,CASE,,,,,,,,,,,
01058,"CAE TRAPPER MASONIC GIFT TIN",$67.29,$119.99,$67.29,,,0,##,CASE,,,,,,,,,,,
03693,"CAE MY FIRST CASE PEANUT",$51.99,$91.99,$51.99,,,2,##,CASE,,,,,,,,,,,
06890,"CAE SOD BUSTER JR NAVY BLUE",$35.19,$61.99,$35.19,,,3,##,CASE,,,,,,,,,,,
06891,"CAE COPPERLOCK NAVY BLUE BONE",$51.59,$91.99,$51.59,,,3,##,CASE,,,,,,,,,,,
06892,"CAE MED TEXAS TOOTHPICK BLUE",$43.79,$77.99,$43.79,,,3,##,CASE,,,,,,,,,,,
10307,"CAE COPPERLOCK OLD RED BONE",$50.69,$89.99,$50.69,,,3,##,CASE,,,,,,,,,,,
10724,"CAE LARGE STOCKMAN AMBER BONE",$56.99,$100.99,$56.99,$47.99,11/30/2024,21,##,CASE,,,,,,,,,,,
11223,"CAE MEDIUM STOCKMAN PATRIOTIC",$53.49,$94.99,$53.49,,,3,##,CASE,,,,,,,,,,,
12025,"CAE SMOOTH ABALONE PEANUT",$160.99,$285.99,$160.99,,,6,##,CASE,,,,,,,,,,,
12026,"CAE SMOOTH ABALONE SM CONGRESS",$201.49,$357.99,$201.49,,,4,##,CASE,,,,,,,,,,,
16750,"CAE TRAPPER BLUE G10",$53.69,$94.99,$53.69,,,1,##,CASE,,,,,,,,,,,
16751,"CAE MINI TRAPPER BLUE G10",$50.69,$89.99,$50.69,$40.99,11/30/2024,23,##,CASE,,,,,,,,,,,
16752,"CAE MEDIUM STOCKMAN BLUE G10",$60.19,$106.99,$60.19,$51.99,11/30/2024,9,##,CASE,,,,,,,,,,,
16753,"CAE CANOE BLUE G10",$57.59,$101.99,$57.59,$47.59,11/30/2024,7,##,CASE,,,,,,,,,,,
16754,"CAE MINI COPPERLOCK BLUE G10",$58.99,$104.99,$58.99,$50.99,11/30/2024,7,##,CASE,,,,,,,,,,,
16755,"CAE SMALL TEXAS TOOTHPICK G10",$46.69,$82.99,$46.69,,,2,##,CASE,,,,,,,,,,,
18237,"CAE MINI TRAPPER BLACK SYN",$33.49,$58.99,$33.49,,,2,##,CASE,,,,,,,,,,,
23446,"CAE PEANUT BLUE PEARL KIRINITE",$44.79,$79.99,$44.79,,,4,##,CASE,,,,,,,,,,,
23447,"CAE CANOE BLUE PEARL KIRINITE",$54.89,$97.99,$54.89,$47.29,11/30/2024,8,##,CASE,,,,,,,,,,,
25585,"CAE MINI COPPERLOCK BLUE BONE",$49.29,$87.99,$49.29,,,2,##,CASE,,,,,,,,,,,
27818-CAE,"CAE MEDIUM STOCKMAN MICARTA",$57.99,$102.99,$57.99,$47.99,11/30/2024,33,##,CASE,,,,,,,,,,,
27819-CAE,"CAE MED TEXAS TOOTHPICK BLACK",$48.49,$85.99,$48.49,$39.49,11/30/2024,26,##,CASE,,,,,,,,,,,
27821-CAE,"CAE SMALL CONGRESS BLACK",$48.89,$86.99,$48.89,$39.89,11/30/2024,13,##,CASE,,,,,,,,,,,
28910,"CAE MED TEXAS TOOTHPICK BONE",$44.29,$78.99,$44.29,$37.99,11/30/2024,6,##,CASE,,,,,,,,,,,
30093,"CAE FOLDING HUNTER AMBER BONE",$71.99,$127.99,$71.99,,,0,##,CASE,,,,,,,,,,,
31948,"CAE PEANUT DARK RED BONE",$40.49,$71.99,$40.49,,,0,##,CASE,,,,,,,,,,,
35808,"CAE SMALL CONGRESS CAYENNE",$60.19,$106.99,$60.19,,,2,##,CASE,,,,,,,,,,,
51858-CAE,"CAE PEANUT MEDITERRANEAN BLUE",$42.89,$75.99,$42.89,,,3,##,CASE,,,,,,,,,,,
51859-CAE,"CAE RUSSLOCK MED BLUE",$59.19,$104.99,$59.19,,,2,##,CASE,,,,,,,,,,,
52851,"CAE SMALL CONGRESS ANTIQ BONE",$41.39,$73.99,$41.39,,,0,##,CASE,,,,,,,,,,,
58204,"CAE LARGE STOCKMAN ANTIQ BONE",$60.09,$106.99,$60.09,$48.99,11/30/2024,11,##,CASE,,,,,,,,,,,
58420,"CAE RUSSLOCK GRAY BONE",$59.19,$104.99,$59.19,,,2,##,CASE,,,,,,,,,,,
58421,"CAE MED TEXAS TOOTHPICK GRAY",$45.59,$80.99,$45.59,$37.39,11/30/2024,22,##,CASE,,,,,,,,,,,
64142,"CAE LG STOCKMAN NATURAL BONE",$90.19,$159.99,$90.19,,,2,##,CASE,,,,,,,,,,,
65028,"CAE MED STOCKMAN BUFFALO HORN",$75.99,$134.99,$75.99,$61.99,11/30/2024,3,##,CASE,,,,,,,,,,,
65029,"CAE CANOE BUFFALO HORN",$75.09,$132.99,$75.09,$62.09,11/30/2024,15,##,CASE,,,,,,,,,,,
65329,"CAE 6.5 BONESTAG TRAPPER",$51.99,$91.99,$51.99,,,4,##,CASE,,,,,,,,,,,
65335,"CAE 6.5 BONESTAG MED STOCKMAN",$56.29,$99.99,$56.29,$47.99,11/30/2024,11,##,CASE,,,,,,,,,,,
65336,"CAE 6.5 BONESTAG STOCKMAN",$55.99,$98.99,$55.99,$45.99,11/30/2024,32,##,CASE,,,,,,,,,,,
73927,"CAE MINI TRAPPER AMER WORKMAN",$37.29,$65.99,$37.29,,,1,##,CASE,,,,,,,,,,,
73928,"CAE FOLD HUNTER AMER WORKMAN",$65.49,$115.99,$65.49,,,2,##,CASE,,,,,,,,,,,
73929,"CAE LG STOCKMAN AMER WORKMAN",$52.29,$92.99,$52.29,$42.49,11/30/2024,8,##,CASE,,,,,,,,,,,
80516,"CAE SMALL CONGRESS ORANGE",$38.29,$67.99,$38.29,,,0,##,CASE,,,,,,,,,,,
80548,"CAE SM CONGRESS CURLY MAPLE",$60.09,$106.99,$60.09,$49.09,11/30/2024,17,##,CASE,,,,,,,,,,,
35101,"CAE SASQUATCH BOWIE",$126.99,$219.99,$126.99,$109.99,11/30/2024,12,##,CASE,,,,,,,,,,,
35102,"CAE SASQUATCH SKINNER",$112.99,$196.99,$112.99,$99.99,11/30/2024,14,##,CASE,,,,,,,,,,,
25882,"CAE MARILLA BLUE ALUM/G10",$109.49,$194.99,$109.49,$86.49,11/30/2024,8,##,CASE,,,,,,,,,,,
25885,"CAE MARILLA BROWN ALUM/G10",$109.49,$194.99,$109.49,$86.49,11/29/2024,8,##,CASE,,,,,,,,,,,
25886,"CAE MARILLA ORANGE ALUM/G10",$109.49,$194.99,$109.49,$85.99,11/30/2024,5,##,CASE,,,,,,,,,,,
64634,"CAE KINZUA BROWN TANTO",$114.29,$202.99,$114.29,$92.99,11/30/2024,5,##,CASE,,,,,,,,,,,
64645,"CAE KINZUA BLACK SKULL SPEAR",$109.49,$194.99,$109.49,$90.99,11/30/2024,0,##,CASE,,,,,,,,,,,
64648,"CAE KINZUA BLUE SPEAR POINT",$106.69,$189.99,$106.69,$85.99,11/30/2024,6,##,CASE,,,,,,,,,,,
36553,"CAE WESTLINE SILVER DROP PT",$106.69,$189.99,$106.69,$93.69,11/30/2024,0,##,CASE,,,,,,,,,,,
06893,"CAE SMALL CONGRESS NAVY BLUE",$52.29,$92.99,$52.29,,,3,##,CASE,,,,,,,,,,,
10723,"CAE SMALL CONGRESS AMBER BONE",$50.39,$88.99,$50.39,$44.39,11/30/2024,2,##,CASE,,,,,,,,,,,
18238,"CAE SMALL CONGRESS BLACK SYN",$43.79,$77.99,$43.79,$35.99,11/30/2024,8,##,CASE,,,,,,,,,,,
23476,"CAE LARGE STOCKMAN MICARTA",$66.99,$118.99,$66.99,$53.99,11/29/2024,31,##,CASE,,,,,,,,,,,
23477,"CAE SMALL CONGRESS MICARTA",$49.49,$87.99,$49.49,$43.49,11/30/2024,2,##,CASE,,,,,,,,,,,
58203,"CAE TRAPPER ANTIQUE BONE",$51.09,$90.99,$51.09,$41.09,11/29/2024,42,##,CASE,,,,,,,,,,,
58209,"CAE SMALL CONGRESS ANTIQ BONE",$56.99,$100.99,$56.99,$46.99,11/30/2024,1,##,CASE,,,,,,,,,,,
58422,"CAE SMALL CONGRESS GRAY BONE",$43.69,$77.99,$43.69,$35.69,11/30/2024,5,##,CASE,,,,,,,,,,,
60198,"CAE SM CONGRESS WHT SYN SPARXX",$37.39,$65.99,$37.39,$30.39,11/30/2024,0,##,CASE,,,,,,,,,,,
64069,"CAE SMALL CONGRESS MAPLE BURL",$58.69,$103.99,$58.69,$47.69,11/30/2024,8,##,CASE,,,,,,,,,,,
65030,"CAE FOLD HUNTER BUFFALO HORN",$122.69,$217.99,$122.69,$98.99,11/30/2024,0,##,CASE,,,,,,,,,,,
65337,"CAE 6.5 BONESTAG SM CONGRESS",$53.69,$94.99,$53.69,$46.69,11/30/2024,3,##,CASE,,,,,,,,,,,
80515,"CAE MINI COPPERLOCK ORANGE",$44.79,$79.99,$44.79,$36.79,11/30/2024,0,##,CASE,,,,,,,,,,,
80546,"CAE TRAPPER CURLY MAPLE",$49.59,$87.99,$49.59,$39.99,11/29/2024,32,##,CASE,,,,,,,,,,,
80547,"CAE SM STOCKMAN CURLY MAPLE",$51.29,$90.99,$51.29,$41.29,11/29/2024,19,##,CASE,,,,,,,,,,,
50628,"CAE ROLAND WELKER 100",$112.99,$196.99,$112.99,$97.99,11/29/2024,9,##,CASE,,,,,,,,,,,
50629,"CAE ROLAND WELKER CAPER",$94.99,$164.99,$94.99,$81.99,11/29/2024,17,##,CASE,,,,,,,,,,,
25893,"CAE MARILLA BLACK MARBLED",$119.99,$207.99,$119.99,$98.99,11/29/2024,15,##,CASE,,,,,,,,,,,
25894,"CAE MARILLA WHITE BLACK",$119.99,$207.99,$119.99,$98.99,11/29/2024,8,##,CASE,,,,,,,,,,,
25895,"CAE MARILLA BLUE BLACK",$119.99,$207.99,$119.99,$98.99,11/29/2024,0,##,CASE,,,,,,,,,,,
64671,"CAE KINZUA GREEN TANTO",$96.99,$172.99,$96.99,$78.49,11/29/2024,5,##,CASE,,,,,,,,,,,
64659,"CAE KINZUA GREEN SPEAR POINT",$96.99,$172.99,$96.99,$78.49,11/30/2024,15,##,CASE,,,,,,,,,,,
64660,"CAE KINZUA BLUE SPEAR POINT",$96.99,$172.99,$96.99,$75.99,11/29/2024,14,##,CASE,,,,,,,,,,,
64661,"CAE KINZUA RED SPEAR POINT",$96.99,$172.99,$96.99,$75.99,11/29/2024,4,##,CASE,,,,,,,,,,,
64662,"CAE KINZUA BLACK SPEAR POINT",$96.99,$172.99,$96.99,$78.49,11/30/2024,7,##,CASE,,,,,,,,,,,
64663,"CAE KINZUA BLUE TANTO",$96.99,$172.99,$96.99,$78.49,11/30/2024,2,##,CASE,,,,,,,,,,,
64664,"CAE KINZUA RED TANTO",$96.99,$172.99,$96.99,$83.99,11/30/2024,1,##,CASE,,,,,,,,,,,
64696,"CAE KINZUA ORANGE SPEAR POINT",$96.99,$172.99,$96.99,$78.49,11/30/2024,10,##,CASE,,,,,,,,,,,
64636,"CAE KINZUA GREEN SNAKESKIN",$112.69,$199.99,$112.69,$93.69,11/30/2024,4,##,CASE,,,,,,,,,,,
64644,"CAE KINZUA ORANGE FAUXMASCUS",$112.69,$199.99,$112.69,$89.99,11/29/2024,3,##,CASE,,,,,,,,,,,
64635,"CAE KINZUA DIGITAL CAMO SPEAR",$118.19,$209.99,$118.19,$94.99,11/29/2024,0,##,CASE,,,,,,,,,,,
64801,"CAE KINZUA BLACK MARBLED",$119.99,$207.99,$119.99,$100.99,11/29/2024,6,##,CASE,,,,,,,,,,,
64802-CAE,"CAE KINZUA WHITE BLACK",$119.99,$207.99,$119.99,$100.99,11/29/2024,9,##,CASE,,,,,,,,,,,
64803,"CAE KINZUA BLUE BLACK",$119.99,$207.99,$119.99,$100.99,11/29/2024,5,##,CASE,,,,,,,,,,,
36550,"CAE WESTLINE BLACK MOD DROP PT",$106.69,$189.99,$106.69,$93.69,11/30/2024,5,##,CASE,,,,,,,,,,,
36551,"CAE WESTLINE RED MOD DROP PT",$106.69,$189.99,$106.69,$93.69,11/29/2024,9,##,CASE,,,,,,,,,,,
36552,"CAE WESTLINE BLUE MOD DROP PT",$106.69,$189.99,$106.69,$93.69,11/29/2024,12,##,CASE,,,,,,,,,,,
36554,"CAE WESTLINE BLACK MARBLED",$132.99,$194.99,$132.99,$112.99,11/30/2024,5,##,CASE,,,,,,,,,,,
36555,"CAE WESTLINE WHITE BLACK",$132.99,$231.99,$132.99,$112.99,11/29/2024,8,##,CASE,,,,,,,,,,,
36556,"CAE WESTLINE BLUE BLACK",$132.99,$231.99,$132.99,$112.99,11/30/2024,4,##,CASE,,,,,,,,,,,
HG6034A-N,"CAI AP5 BASE 9MM 30R 8.9B PST",$1124.99,$1359.95,$1124.99,,,0,#787450829541#,"Century Arms","Pistol: Semi-Auto",AP5,"9MM LUGER",Semi-Automatic,30+1,Black,,,8.9,,
RI5600-N,"CAI AP5-L 9MM 32R 16B RFL",$1549.99,$1899.99,$1549.99,$1529.99,11/30/2024,2,#787450911086#,"Century Arms","Rifle: Semi-Auto",AP5-L,"9MM LUGER",Semi-Automatic,32+1,Black,,,16.5,28.5-33.5,
HG6034SB-N,"CAI AP5 9MM 30R 9B PST",$1344.99,$1599.99,$1344.99,$1304.99,11/30/2024,5,#787450924550#,"Century Arms","Pistol: Semi-Auto",AP5,"9MM LUGER",Semi-Automatic,30+1,Black,,"FT: Fixed/ RR: Adjustable",8.9,,"Picatinny Optic Rail/ SB Brace"
HG6035A-N,"CAI AP5P BASE 9MM 30R 5.8B PST",$1124.99,$1359.95,$1124.99,,,0,#787450829565#,"Century Arms","Pistol: Semi-Auto",AP5,"9MM LUGER",Semi-Automatic,30+1,Black,,,"5.8 Tri-Lug and Threaded 1/2x28",,
HG6035SB-N,"CAI AP5P 9MM 30R 5.8B PST",$1344.99,$1599.99,$1344.99,$1304.99,11/30/2024,11,#787450924628#,"Century Arms","Pistol: Semi-Auto",AP5,"9MM LUGER",Semi-Automatic,30+1,Black,,,"5.75 Tri-Lug and Threaded 1/2x28",,
HG7890-N,"CAI DRACO MINI 7.62X39 30RD 8B",$794.99,$1099.00,$794.99,,,0,#787450924857#,"Century Arms","Pistol: Semi-Auto",Draco,7.62X39,Semi-Automatic,30+1,Black,,,7.75,,
HG9401-N,"CAI CENTURION 14 9MM 15RD 5B",$349.99,$409.99,$349.99,,,2,#787450917682#,"Century Arms","Pistol: Semi-Auto",Centurion,"9MM LUGER",Semi-Automatic,15+1,Black,,,4.66,7.75,
HG7416-N,"CAI BFT47 PST 7.62X39 30R 12.6",$699.95,$860.99,$699.95,,,11,#787450832565#,"Century Arms","Pistol: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte",,"Adjustable Rear Sight",12.6,22.5,"Side Optic Rail/ Optimal 12.6 Barrel Length"
RI3291-N,"CAI VSKA 7.62X39 30R POLYMER",$599.99,$749.99,$599.99,,,55,#787450512832#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte","Black Polymer","Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch"
RI3291CC-N,"CAI VSKA 7.62X39 10R POLY CA",$659.99,$819.99,$659.99,,,3,#787450534575#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,10+1,"Black Matte","Black Polymer","Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch"
RI4998-N,"CAI SHARPS MB47 30R 16B",$1429.99,$1999.99,$1429.99,,,3,#787450868106#,"Century Arms","Rifle: Semi-Auto","Sharps MB47",7.62X39,Semi-Automatic,30+1,Black,"Magpul DT Carbine w/AR15 Mil-Spec Buffer Tube","Front: Adjustable Tactical/ Rear: Adjustable",16.25,35-38,"US Chevron Compensator/ RAK-1 Enhanced Trigger"
RI4335-N,"CAI VSKA 7.62X39 30R RUSN RED",$769.99,$969.99,$769.99,,,1,#787450721784#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte","Russian Red","Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch"
RI4317-N,"CAI BFT47 CORE 7.62X39 30R",$749.99,$829.99,$749.99,,,2,#787450693135#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte",Wood,"Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch/ Side Rail/ Bayonet Lug"
RI4330-N,"CAI BFT74 5.45X39 30R",$804.99,$949.99,$804.99,$799.99,11/30/2024,5,#787450720633#,"Century Arms","Rifle: Semi-Auto",AK74,5.45X39MM,Semi-Automatic,30+1,"Black Matte","Premium Maple Hardwood","Adjustable Sights",16.5,37,"Bolt Hold Open Notch/ Side Rail"
RI4416-N,"CAI BFT47 WALNUT 7.62X39 30R",$749.99,$829.99,$749.99,$729.99,11/30/2024,0,#787450797918#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte",Walnut,"Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch/ Side Rail/ Bayonet Lug"
RI4577-N,"CAI BFT47 KONA 7.62X39 30R",$749.99,$829.99,$749.99,,,0,#787450810488#,"Century Arms","Rifle: Semi-Auto",AK47,7.62X39,Semi-Automatic,30+1,"Black Matte","KONA Brown Wood","Adjustable Rear Sight",16.5,35.25,"Bolt Hold Open Notch/ Side Rail/ Bayonet Lug"
RI5042-N,"CAI BFT556 5.56X45 30R",$899.99,$1049.99,$899.99,$849.99,11/30/2024,21,#787450894044#,"Century Arms","Rifle: Semi-Auto",AK47,"5.56 NATO",Semi-Automatic,30+1,"Black Matte","Premium Russian Red Maple Hardwood","Adjustable Rear Sight",16.25,37,"Bolt Hold Open Notch/ Extended Tab Safety Selector"
RI4988-N,"CAI AES10B2 RPK 7.62.39 30R WD",$1649.99,$1999.99,$1649.99,$1629.99,11/30/2024,3,#787450859401#,"Century Arms","Rifle: Semi-Auto",AES,7.62X39,Semi-Automatic,30+1,"Black Matte",Wood,"Adjustable Rear Sight",23.25,42,"Heavy Barrel/ RPK Style Bipod/ Clubfoot Stock"
MAAK78B,"CAI MAG ROMANIAN AK 75RD DRUM",$128.05,$145.95,$128.05,,,8,#787450752689#,"Century Arms",,,7.62X39,,75,,,,,,
HG2137-N,"CAI DRACO MINI 7.62X39 30RD 8B",$799.99,$999.99,$799.99,$789.99,11/30/2024,0,#787450071186#,"Century Arms","Pistol: Semi-Auto",Draco,7.62X39,Semi-Automatic,30+1,Black,,,7.75,,
HG2797-N,"CAI DRACO MCRO 7.62X39 30RD 6B",$884.99,$1099.99,$884.99,,,9,#787450232792#,"Century Arms","Pistol: Semi-Auto",Draco,7.62X39,Semi-Automatic,30+1,Black,,,6.25,,
14420,"CHT BULLDOG 44SP DA REV 2.5B",$369.99,$467.60,$369.99,,,4,#678958144208#,"Charter Arms","Revolver: Double Action",Bulldog,"44 S&W SPL","Double Action",5,"Black Passivate Coating","Rubber Grips with Finger Grooves",Fixed,2.5,7.25,"Spurred Hammer/ Shrouded Ejector Rod"
74420,"CHT BULLDOG 44SP DA REV 2.5SS",$369.99,$467.60,$369.99,,,4,#678958744200#,"Charter Arms","Revolver: Double Action",Bulldog,"44 S&W SPL","Double Action",5,"Stainless Steel","Rubber Grips with Finger Grooves",Fixed,2.5,7.25,"Spurred Hammer/ Shrouded Ejector Rod"
74421,"CHT BULLDOG 44SP DAO REV 2.5SS",$369.99,$467.60,$369.99,,,2,#678958744217#,"Charter Arms","Revolver: Double Action Only",Bulldog,"44 S&W SPL","Double Action Only",5,"Stainless Steel","Rubber Grip with Finger Grooves",Fixed,2.5,7.25,"Concealed Hammer/ Shrouded Ejector Rod"
34431,"CHT BULLDOG 44SP DA REV 3B",$399.99,$505.40,$399.99,,,0,#678958344318#,"Charter Arms","Revolver: Double Action",Bulldog,"44 S&W SPL","Double Action",5,"Black Passivate Coating","Wood Grips",Fixed,3,7.75,"Spurred Hammer/ Shrouded Ejector Rod"
64420,"CHT BULDG 44SP DA REV 2.5B BLK",$379.99,$485.80,$379.99,,,1,#678958644203#,"Charter Arms","Revolver: Double Action",Bulldog,"44 S&W SPL","Double Action",5,"Black Nitride","Rubber Grips with Finger Grooves",Fixed,2.5,7.25,"Spurred Hammer/ Shrouded Ejector Rod"
